Freq.	V(vout)
7.41310241300914e+001	(-2.69207406578613e+001dB,9.93162706151885e+001°)
7.58577575029180e+001	(-2.67126089411317e+001dB,9.89832377716810e+001°)
7.76247116628688e+001	(-2.65048721479283e+001dB,9.86542855498971e+001°)
7.94328234724277e+001	(-2.62975159658286e+001dB,9.83292842696831e+001°)
8.12830516164095e+001	(-2.60905267131002e+001dB,9.80081036890653e+001°)
8.31763771102667e+001	(-2.58838913238939e+001dB,9.76906130960789e+001°)
8.51138038202372e+001	(-2.56775973336253e+001dB,9.73766813924537e+001°)
8.70963589956076e+001	(-2.54716328646183e+001dB,9.70661771695333e+001°)
8.91250938133741e+001	(-2.52659866119770e+001dB,9.67589687768034e+001°)
9.12010839355905e+001	(-2.50606478297970e+001dB,9.64549243834116e+001°)
9.33254300796986e+001	(-2.48556063177532e+001dB,9.61539120330283e+001°)
9.54992586021431e+001	(-2.46508524080454e+001dB,9.58557996924269e+001°)
9.77237220955805e+001	(-2.44463769527629e+001dB,9.55604552941157e+001°)
9.99999999999995e+001	(-2.42421713116842e+001dB,9.52677467733759e+001°)
1.02329299228075e+002	(-2.40382273405907e+001dB,9.49775421000386e+001°)
1.04712854805089e+002	(-2.38345373799781e+001dB,9.46897093053178e+001°)
1.07151930523760e+002	(-2.36310942443517e+001dB,9.44041165040260e+001°)
1.09647819614318e+002	(-2.34278912119811e+001dB,9.41206319124685e+001°)
1.12201845430196e+002	(-2.32249220152108e+001dB,9.38391238623182e+001°)
1.14815362149688e+002	(-2.30221808313407e+001dB,9.35594608107640e+001°)
1.17489755493952e+002	(-2.28196622739898e+001dB,9.32815113471936e+001°)
1.20226443461741e+002	(-2.26173613850590e+001dB,9.30051441967078e+001°)
1.23026877081237e+002	(-2.24152736273115e+001dB,9.27302282207047e+001°)
1.25892541179416e+002	(-2.22133948774052e+001dB,9.24566324147996e+001°)
1.28824955169313e+002	(-2.20117214196367e+001dB,9.21842259043305e+001°)
1.31825673855640e+002	(-2.18102499401949e+001dB,9.19128779376850e+001°)
1.34896288259165e+002	(-2.16089775220020e+001dB,9.16424578776719e+001°)
1.38038426460288e+002	(-2.14079016401634e+001dB,9.13728351911926e+001°)
1.41253754462275e+002	(-2.12070201580397e+001dB,9.11038794374090e+001°)
1.44543977074592e+002	(-2.10063313238329e+001dB,9.08354602546399e+001°)
1.47910838816820e+002	(-2.08058337678623e+001dB,9.05674473461983e+001°)
1.51356124843620e+002	(-2.06055265003638e+001dB,9.02997104653777e+001°)
1.54881661891247e+002	(-2.04054089099370e+001dB,9.00321193998012e+001°)
1.58489319246110e+002	(-2.02054807625659e+001dB,8.97645439553324e+001°)
1.62181009735892e+002	(-2.00057422012485e+001dB,8.94968539397614e+001°)
1.65958690743755e+002	(-1.98061937462170e+001dB,8.92289191464642e+001°)
1.69824365246173e+002	(-1.96068362957772e+001dB,8.89606093382415e+001°)
1.73780082874936e+002	(-1.94076711277283e+001dB,8.86917942315389e+001°)
1.77827941003891e+002	(-1.92086999013901e+001dB,8.84223434812678e+001°)
1.81970085860997e+002	(-1.90099246602305e+001dB,8.81521266664146e+001°)
1.86208713666286e+002	(-1.88113478350706e+001dB,8.78810132766545e+001°)
