Time (s),Channel 1 (V),Channel 2 (V)
-9.895000000000001e-05,0.008155015172551249,0.002126019386924615
-9.892500000000001e-05,0.007941131888277506,0.001429234237879912
-9.890000000000001e-05,0.006656977877575338,0.0003261291049792409
-9.8875e-05,0.004356852997506032,-0.001219428348899303
-9.885e-05,0.004009369836505383,-0.002528078129165453
-9.8825e-05,0.00325662726546792,-0.003784062830375939
-9.88e-05,0.002006038999559847,-0.004554480901018615
-9.8775e-05,0.0006888837971490689,-0.00616835768879193
-9.875e-05,-0.0003599198034762268,-0.007300856140620419
-9.8725e-05,-0.0003612245296665878,-0.00712287732199922
-9.87e-05,-0.0008896255810779054,-0.008048475915680534
-9.8675e-05,-0.001387903377004465,-0.008363088661520112
-9.865e-05,-0.001744719036396119,-0.008793029133769233
-9.8625e-05,-0.002145076247318711,-0.009670368416719999
-9.86e-05,-0.002625238016956874,-0.009848450935335405
-9.8575e-05,-0.002618132565723598,-0.009720326629641281
-9.855e-05,-0.002635774165267829,-0.009597844788774562
-9.8525e-05,-0.002752149592641593,-0.009607299265388849
-9.85e-05,-0.002544961347828333,-0.009793489642122401
-9.847499999999999e-05,-0.002196407410088168,-0.009463313008581518
-9.844999999999999e-05,-0.001733263304599907,-0.008986117337831282
-9.842499999999999e-05,-0.001271130804118125,-0.008659473022378527
-9.840000000000001e-05,-0.000950817365751321,-0.008092152871810381
-9.837500000000001e-05,-0.000423652814047942,-0.007683991768629286
-9.835000000000001e-05,-2.066993642601007e-05,-0.007131015697544225
-9.8325e-05,0.0005545843884006622,-0.006734084414878237
-9.83e-05,0.001427194361378493,-0.005754997364187291
-9.8275e-05,0.002348009081737103,-0.004925328672285698
-9.825e-05,0.003138401721194796,-0.003959078199448528
-9.8225e-05,0.003745172680008739,-0.003040790751644182
-9.82e-05,0.005021719859061258,-0.002379338560909569
-9.8175e-05,0.006150629773184361,-0.00158387160852444
-9.815e-05,0.007182646921628087,-0.0003968856243135947
-9.8125e-05,0.007860577891131978,0.0008170599881043039
-9.81e-05,0.009065203618257562,0.001563500546087484
-9.8075e-05,0.01011547387768142,0.002662550416643127
-9.805e-05,0.01064176812058167,0.003452399199628065
-9.8025e-05,0.01187518837138743,0.004451980035744698
-9.8e-05,0.01182312566911098,0.004558192532663839
-9.7975e-05,0.01100366623176972,0.004073376986339753
-9.795e-05,0.01048880455735351,0.003666978190488779
-9.7925e-05,0.01005747589257708,0.003328699328258011
-9.789999999999999e-05,0.0094655473523441,0.002917404707537891
-9.787499999999999e-05,0.008444481186070645,0.002314659453806268
-9.785000000000001e-05,0.007479882541708587,0.0009762824406318569
-9.782500000000001e-05,0.00629901647654418,-0.0006364471289197529
-9.780000000000001e-05,0.005287943805354898,-0.001383777729139622
-9.7775e-05,0.004645463231936754,-0.002170348703450673
-9.775e-05,0.003083404227292278,-0.003609054868445788
-9.7725e-05,0.002033631979075694,-0.004814921658743919
-9.77e-05,0.001369999511472688,-0.005742168786047355
-9.7675e-05,0.0009664946170295094,-0.005926731369157625
-9.765e-05,0.0006946758885938898,-0.006257512425521858
-9.7625e-05,0.000808315307673365,-0.006375614867490556
-9.76e-05,0.0002777901805547911,-0.007076854672000771
-9.7575e-05,-4.350285533289309e-05,-0.007400152440497655
-9.755e-05,-0.0003557982079752689,-0.007442749435259046
-9.7525e-05,-4.352496576704092e-05,-0.007340935892093975
-9.75e-05,0.0001460014642479033,-0.007153744365987826
-9.7475e-05,0.0001385740429783064,-0.007023665167260138
-9.745e-05,0.0005105218729260514,-0.006417809209988742
-9.7425e-05,0.0006652639573620456,-0.006270014496822906
-9.74e-05,0.001333725343783218,-0.00614599345175652
-9.7375e-05,0.001915346210191451,-0.005215045716088547
-9.734999999999999e-05,0.002453354561103902,-0.004768459617055746
-9.732499999999999e-05,0.002990189163826565,-0.004144708003641811
-9.729999999999999e-05,0.003399270099186829,-0.00376161059648796
-9.727500000000001e-05,0.004339694247728082,-0.002993540590000423
-9.725000000000001e-05,0.004910805077195378,-0.002410478484026044
-9.722500000000001e-05,0.006099564146200253,-0.001401279029018321
-9.72e-05,0.006766023169589769,-0.0005604794760247289
-9.7175e-05,0.007741225767595054,9.380645253909133e-05
-9.715e-05,0.008814939193908314,0.001317448014414926
-9.7125e-05,0.009605722872187101,0.002464501204858282
-9.71e-05,0.01124761633727712,0.003542015253189347
-9.7075e-05,0.01251106255765738,0.004869192963276805
-9.705e-05,0.01297131672411437,0.005916739490997542
-9.7025e-05,0.01401884002531465,0.006809212454816528
-9.7e-05,0.01529316015720944,0.0078563382568465
-9.6975e-05,0.01610490705396835,0.009111888010652734
-9.695e-05,0.01623893166160662,0.00950266929109111
-9.6925e-05,0.0154302600103745,0.008759916304901763
-9.69e-05,0.015485076198717,0.008522908783009247
-9.6875e-05,0.01504118838619274,0.008394005838501509
-9.685e-05,0.01437175182433782,0.008141946706879039
-9.6825e-05,0.013043341989794,0.006462590483623609
-9.679999999999999e-05,0.01192699648780782,0.005734407642905412
