Frequency (Hz),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
14017.37418346771,-0.04922219896291261,8.031702545922712
14905.04643386197,-0.04478467837466917,7.392726613623646
15848.93192461116,-0.01918876252975633,7.039466045472125
16852.59044750753,-0.03850035621014289,6.529809013323643
17919.80722375336,-0.005948330209925535,6.184916314735304
19054.6071796325,-0.007798158243165454,5.781921618901578
20261.27012621145,0.03405620139681098,5.415113079818497
21544.34690031884,-0.01324031273301524,5.141177241765888
22908.67652767777,0.01240575184108715,4.903811852223029
24359.40447292029,0.008555327985568352,4.49748423768245
25902.00204531325,0.01220989728362963,4.130273264164714
27542.28703338169,0.006959953567306992,3.86417968669916
29286.4456462524,-0.003896555274909207,3.710106862558092
31141.05584446762,0.01137392437493853,3.529097406483544
33113.11214825914,0.02458938781799097,3.22876983296554
35210.05201684524,0.01465898855219986,2.971515796644354
37439.78389823814,0.02465905481392595,2.923027427654887
39810.71705534978,0.02462039222425007,2.703695227067698
42331.79328088216,0.02094497803851965,2.453620496551025
45012.52062061341,0.0279231130553389,2.272983575514587
47863.00923226385,0.02509835592323615,2.116126914408106
50894.00951518099,0.01039280923151568,1.851332467746516
54116.95265464643,0.01110829026620967,1.879427499523522
57543.99373371572,0.03290965576834259,1.800353276986499
61188.05757518225,0.006914556157718673,1.55884822976472
65062.8874865558,0.0351725591063818,1.425576980217421
69183.09709189369,0.02623027517595918,1.283234064301354
73564.22544596421,0.0296063677379183,1.252604067926171
78222.79563860038,0.04949442164911727,1.057208773585387
83176.37711026717,0.01019348132081262,1.105882562641483
88443.65191386007,0.03525598149989843,0.7763699467647029
94044.48517263534,0.009024576827588743,0.994844200124021
100000.0000000001,0.01523811775700492,0.7017928389855825
106332.6571637163,0.02734389150344027,0.5263098691403485
113066.339794964,0.03991314509965232,0.5327547577764804
120226.4434617414,0.0168766193769649,0.4647349950754199
127839.9719463024,0.0309705497027585,0.2623640285226898
135935.6390878527,0.02734599963692421,0.3849241910575074
144543.977074593,0.02347939608620682,0.2472901835352559
153697.4515935273,0.02528443448380076,-0.01774481707325037
163430.5842723139,0.03679096341987401,-0.03519895914575599
173780.0828749378,0.02727738897279986,-0.1058748842303601
184784.9797422292,0.03522714248932907,-0.2507790829674548
