Time (s),Channel 1 (V),Channel 2 (V)
0.000205725,0.1755852282970134,0.2525000718832427
0.0002058,0.177233977611802,0.2538045029558068
0.000205875,0.1784910813178923,0.2551090024079202
0.00020595,0.1792426951711804,0.2557673379138503
0.000206025,0.1805296525132831,0.2567871733028967
0.0002061,0.1814612306657345,0.257477077367346
0.000206175,0.1817621854479007,0.2578749779637874
0.00020625,0.1833409789316879,0.2588373859281485
0.000206325,0.1856487680757418,0.2609451285474094
0.0002064,0.1888374773597435,0.2638632599967032
0.000206475,0.1927227913071697,0.2672493696837148
0.00020655,0.196685465025206,0.2713734542582207
0.000206625,0.2008706533941327,0.2756556323503366
0.0002067,0.2043954737839848,0.2792632120004188
0.000206775,0.2069362441923519,0.2814120963150786
0.00020685,0.2080782448854892,0.2827058031950194
0.000206925,0.2094161278523704,0.2836452926138271
0.000207,0.2100701623409361,0.2843068875449328
0.000207075,0.2111391742639552,0.2851751824564949
0.00020715,0.2116942021223319,0.285649941666169
0.000207225,0.2120790285738005,0.2855380499305942
0.0002073,0.2132539554883301,0.2865108629830159
0.000207375,0.2156846381360094,0.288356050926765
0.00020745,0.2185879637076242,0.2908109451204146
0.000207525,0.2220362469868229,0.2941634576556158
0.0002076,0.2256153827569369,0.2976878991705362
0.000207675,0.2299025413142093,0.3017979317476939
0.00020775,0.2333035464248222,0.3049889089946449
0.000207825,0.2352352015605625,0.3071621934117559
0.0002079,0.2365789521743624,0.3085417622122326
0.000207975,0.2381569923791534,0.3094855823358193
0.00020805,0.2388625273633105,0.3100788319075602
0.000208125,0.2401476213310539,0.3108624501441051
0.0002082,0.2406294423648659,0.3113753423490156
0.000208275,0.241563359646832,0.3117222204052079
0.00020835,0.2432641347701965,0.3129839028629684
0.000208425,0.2452808608746937,0.3149140296033401
0.0002085,0.2481408629924537,0.3173392128828886
0.000208575,0.2518758680454143,0.3206241778201319
0.00020865,0.2559862835623892,0.3242303442928652
0.000208725,0.2601214284358883,0.3279199338155483
0.0002088,0.2633046070662066,0.3312056167380574
0.000208875,0.2649125108185759,0.3329343543096223
0.00020895,0.266291982715307,0.3341014564543318
0.000209025,0.2676779367760331,0.3348627829578572
0.0002091,0.2680978501702256,0.3351508546017894
0.000209175,0.2688147140740249,0.3355196141137061
0.00020925,0.2690763694980274,0.3356820839224611
0.000209325,0.2693844110496986,0.335369885694274
0.0002094,0.2709138647592261,0.3362844735606034
0.000209475,0.2728338341589574,0.338015376484558
0.00020955,0.2759156769411373,0.3408253770734795
0.000209625,0.2789539385687532,0.3437812996202642
0.0002097,0.2827907354018762,0.3473580628868677
0.000209775,0.286833435101707,0.350924478048368
0.00020985,0.2900779861470947,0.354226515079713
0.000209925,0.2918873028268912,0.3561390454827728
0.00021,0.2931686502227844,0.3570593430414554
0.000210075,0.2942960710027165,0.3578129426559281
0.00021015,0.2952531119675572,0.3583947500497798
0.000210225,0.2965227538043099,0.3592176409407134
0.0002103,0.2968334318324682,0.3592428729943458
0.000210375,0.2975552812538356,0.3595771122305386
0.00021045,0.2989940144021336,0.3609108553365004
0.000210525,0.3009530353708854,0.3622721326075823
0.0002106,0.3037400288953956,0.3646966548848229
0.000210675,0.3070321851910385,0.3677942712540155
0.00021075,0.3106991770798828,0.3710491377930458
0.000210825,0.3145417226211355,0.3747208004772631
0.0002109,0.3172755405954442,0.3773116788009678
0.000210975,0.3189582072881993,0.3786968319312908
0.00021105,0.3202787747497305,0.3797573189623005
0.000211125,0.320797199195825,0.3803918697817217
0.0002112,0.3214255131712922,0.3804933222394613
0.000211275,0.3221042076354222,0.3804626995980385
0.00021135,0.3224753065683391,0.3807131510933527
0.000211425,0.3228077107486024,0.3809389175714274
0.0002115,0.3241421643137369,0.3816098691041737
0.000211575,0.3258996633278383,0.3828641551740356
0.00021165,0.3287579606562908,0.3849355540629292
0.000211725,0.3316499473966977,0.3878625634570195
0.0002118,0.3353505890512335,0.3911497621262011
0.000211875,0.3389048567029029,0.3943950099419859
0.00021195,0.3417606860514859,0.3971467169652662
0.000212025,0.3432918148156237,0.3986840715753818
0.0002121,0.3445465100112388,0.3993946832466286
0.000212175,0.3452971029732555,0.4002227595867056
0.00021225,0.3458132675823609,0.4001852078176366
0.000212325,0.3467030783967788,0.4004287529784875
0.0002124,0.3471261634920084,0.400806698143172
0.000212475,0.3476296412969649,0.4009869124449287
0.00021255,0.3489283636676025,0.4020875724610578
0.000212625,0.3509777483812169,0.4037977791748062
0.0002127,0.3537265922891894,0.4059074250248514
0.000212775,0.3569359572761959,0.4086906664168765
0.00021285,0.3603955595634708,0.4116354203039683
0.000212925,0.3633547268964717,0.414509048063364
0.000213,0.3659864359205143,0.4168147266842002
0.000213075,0.3673399395150037,0.4179294273010858
0.00021315,0.3678508906405291,0.4181006496921307
0.000213225,0.3684611259200847,0.4182641337975312
0.0002133,0.3688044724689261,0.4182174305654691
0.000213375,0.3690496350475351,0.4182682137772964
0.00021345,0.3689773698217158,0.4180470743153801
0.000213525,0.3692802276245045,0.4177551278303298
0.0002136,0.3709116416108118,0.418657202239167
0.000213675,0.3727370943196347,0.4201658830250101
0.00021375,0.3749815584701681,0.4219610057421977
0.000213825,0.3781761453126544,0.4246299279246535
0.0002139,0.3817356660941666,0.4278008699637067
0.000213975,0.3849552895517152,0.4310187659598356
0.00021405,0.3875718140570424,0.4334474821827567
0.000214125,0.3892186999974718,0.4343839059184444
0.0002142,0.3899468135283874,0.4349663971077877
0.000214275,0.3903105382563928,0.4351528453451073
0.00021435,0.3907042950285942,0.4350573419081428
0.000214425,0.3912405008236283,0.4354945037623816
0.0002145,0.3913627104292176,0.4351714673756562
0.000214575,0.3919294042004718,0.4351098346086987
0.00021465,0.3930174661528454,0.4360040909557507
0.000214725,0.3945378111334567,0.4372346949084276
0.0002148,0.3969009761953067,0.4390263074754261
0.000214875,0.399768927388791,0.4412750259318294
0.00021495,0.4028037893493577,0.4439951871897733
0.000215025,0.405954983357029,0.4467149609636054
0.0002151,0.407764855084507,0.4484260908012672
0.000215175,0.4090201945318953,0.4493806579106601
0.00021525,0.4097630168263708,0.4496698350239701
0.000215325,0.4102944254235865,0.4492382347063946
0.0002154,0.4104956103850015,0.4492406621803889
0.000215475,0.4103433489120849,0.4492026887374335
0.00021555,0.4101104667634293,0.4484404960929526
0.000215625,0.4103144467863835,0.4480221386147269
0.0002157,0.4116194530897009,0.4486314459839241
0.000215775,0.4132931696385918,0.4498382310603172
0.00021585,0.4155948235234518,0.4517930086281537
0.000215925,0.4186135990128204,0.4542901613831715
0.000216,0.4218146184614728,0.4569608386407216
0.000216075,0.4251429222373739,0.4598963840818628
0.00021615,0.4271802247523498,0.4618785704523126
0.000216225,0.4279789383660402,0.4624481720966429
0.0002163,0.428924025982597,0.4627648947716647
0.000216375,0.4290581592017728,0.4625407694027691
0.00021645,0.4289935357931401,0.462392454160686
0.000216525,0.4293790263195132,0.4619765013632715
0.0002166,0.4288731895619101,0.4617103339682471
0.000216675,0.4289957064260373,0.4612623795418355
0.00021675,0.4300128511255326,0.4616891363080136
0.000216825,0.4317024063564779,0.4628010561565676
0.0002169,0.4340320901492539,0.4643672441432369
0.000216975,0.4365788174086314,0.4664619262686124
0.00021705,0.4398422995445849,0.4692024532356086
0.000217125,0.4427487968172371,0.4714178594549893
0.0002172,0.4441710668548388,0.4728324727744
0.000217275,0.4448880893436901,0.4732215524090026
0.00021735,0.4455532743437148,0.473052951234008
0.000217425,0.4455624128073281,0.4727318180780669
0.0002175,0.445488462615333,0.4725012764281438
0.000217575,0.4451362848614159,0.4720145849871448
0.00021765,0.4440650131014078,0.4708028537900305
0.000217725,0.4447405160413693,0.4702962069172745
0.0002178,0.4454882148261894,0.4707205020196838
0.000217875,0.4466702185986584,0.471618029188503
0.00021795,0.4489974542346964,0.4730658863653869
0.000218025,0.4518651972853002,0.4753326684193545
0.0002181,0.4549754763495919,0.4777552418794443
0.000218175,0.4576171960550329,0.4797781482714064
0.00021825,0.4588974036208661,0.4808788538739016
0.000218325,0.4591456288732889,0.4812152356693009
0.0002184,0.4593699870754074,0.4810908988557824
0.000218475,0.4595315654201205,0.4805766504564806
0.00021855,0.4598068591585831,0.4801313856256684
0.000218625,0.4590881517035556,0.4799002855427606
0.0002187,0.4587833908801447,0.4789985986180353
0.000218775,0.4588845086738366,0.4784707084986801
0.00021885,0.459623168110701,0.4786795396417516
0.000218925,0.4610277063571918,0.4795175652062282
0.000219,0.4630520148094812,0.4807230738643707
0.000219075,0.4656219252211271,0.4826810538744253
0.00021915,0.4684595866697064,0.4845857320259254
0.000219225,0.4706149854904891,0.4864359800563109
0.0002193,0.4716680001464018,0.487331843322768
0.000219375,0.4721365297705549,0.4872605120564243
0.00021945,0.4722644583495768,0.4869825605857644
0.000219525,0.4718165348705998,0.4863140023372381
0.0002196,0.471689181162391,0.4857132879980494
0.000219675,0.470780330230184,0.4848111680028463
0.00021975,0.4702075804922617,0.4836078816800506
0.000219825,0.4702590710762874,0.4834738577637377
0.0002199,0.4707836406931413,0.4834057175430203
0.000219975,0.4720737003553214,0.4837449256931173
0.00022005,0.4741124400473297,0.4850367293422738
0.000220125,0.4767430092413122,0.4868435449623644
0.0002202,0.4796079869650742,0.4892368291822395
0.000220275,0.4819661665093564,0.4912798961446062
0.00022035,0.4826333040878321,0.491903859530502
0.000220425,0.483242330156367,0.4920407439912873
0.0002205,0.4833620123126922,0.4915398751904337
0.000220575,0.4831904629328429,0.4909148405249347
0.00022065,0.4830934187926708,0.4904728807056642
0.000220725,0.482301425220553,0.4895828183042928
0.0002208,0.481206316144937,0.4883583115280807
0.000220875,0.4809931976583694,0.4879813692634506
0.00022095,0.4815014231033162,0.4877432488801645
0.000221025,0.482571287420989,0.4881376735161916
0.0002211,0.4843383510960307,0.4892601580050874
0.000221175,0.4870472811287631,0.4909467623777911
0.00022125,0.4893341172228399,0.4925638133524284
0.000221325,0.4909850867283548,0.4938200596360325
0.0002214,0.4914191934846888,0.4941440419398543
0.000221475,0.4912760605638198,0.4936769640328669
0.00022155,0.4907904929581574,0.4931918909078645
0.000221625,0.4898635038606441,0.4920380885854627
0.0002217,0.4891691590342088,0.4910087484390859
0.000221775,0.4880350182127042,0.4896172018209182
0.00022185,0.487279122563016,0.488220219028594
0.000221925,0.486829236594022,0.4875408568113038
0.000222,0.4874083396455841,0.4874691608540313
0.000222075,0.4884838535557296,0.4880423410280996
0.00022215,0.4903735034758587,0.4891605403985833
0.000222225,0.4929296467226901,0.4908892209871905
0.0002223,0.4955986727917481,0.4927033076326727
0.000222375,0.4975379201868463,0.494143164402307
0.00022245,0.4976315547484038,0.494347129200798
0.000222525,0.497698259585842,0.4939507101612546
0.0002226,0.4976852853462869,0.4935896319520248
0.000222675,0.4973721888960874,0.4926073711252304
0.00022275,0.4964300945723845,0.4921772637611441
0.000222825,0.4948364238284199,0.4908209326107835
0.0002229,0.4935993117504299,0.4893921191383348
